Task,Total Rows,Total Reward,Elapsed Time
1,24,4119.0,1.86928
2,21,3923.0,3.24077
3,25,2858.0,2.21924
4,21,3486.0,2.1406
5,19,2967.0,1.98463
6,31,1860.0,3.24442
